symbol,company,date,quote,open,low,high,avg_volume
MSFT,Microsoft Corporation,2024-05-23,427.0,432.9700012207,425.4200134277,433.6000061035,17211700
MSFT,Microsoft Corporation,2024-05-24,430.1600036621,427.1900024414,424.4100036621,431.0599975586,11845800
MSFT,Microsoft Corporation,2024-05-28,430.3200073242,429.6300048828,426.6000061035,430.8200073242,15718000
MSFT,Microsoft Corporation,2024-05-29,429.1700134277,425.6900024414,425.6900024414,430.9400024414,15517100
MSFT,Microsoft Corporation,2024-05-30,414.6700134277,424.299987793,414.2399902344,424.299987793,28424800
MSFT,Microsoft Corporation,2024-05-31,415.1300048828,416.75,404.5100097656,416.75,47995300
MSFT,Microsoft Corporation,2024-06-03,413.5199890137,415.5299987793,408.9200134277,416.4299926758,17484700
MSFT,Microsoft Corporation,2024-06-04,416.0700073242,412.4299926758,409.6799926758,416.4400024414,14348900
MSFT,Microsoft Corporation,2024-06-05,424.0100097656,417.8099975586,416.299987793,424.0799865723,16988000
MSFT,Microsoft Corporation,2024-06-06,424.5199890137,424.0100097656,420.5799865723,425.3099975586,14861300
MSFT,Microsoft Corporation,2024-06-07,423.8500061035,426.200012207,423.0,426.2799987793,13621700
MSFT,Microsoft Corporation,2024-06-10,427.8699951172,424.700012207,423.8900146484,428.0799865723,14003000
MSFT,Microsoft Corporation,2024-06-11,432.6799926758,425.4800109863,425.25,432.8200073242,14551100
MSFT,Microsoft Corporation,2024-06-12,441.0599975586,435.3200073242,433.25,443.3999938965,22366200
MSFT,Microsoft Corporation,2024-06-13,441.5799865723,440.8500061035,439.3699951172,443.3900146484,15960600
MSFT,Microsoft Corporation,2024-06-14,442.5700073242,438.2799987793,436.7200012207,443.1400146484,13582000
MSFT,Microsoft Corporation,2024-06-17,448.3699951172,442.5899963379,440.7200012207,450.9400024414,20790000
MSFT,Microsoft Corporation,2024-06-18,446.3399963379,449.7099914551,444.8900146484,450.1400146484,17112500
MSFT,Microsoft Corporation,2024-06-20,445.700012207,446.299987793,441.2699890137,446.5299987793,19877400
MSFT,Microsoft Corporation,2024-06-21,449.7799987793,447.3800048828,446.5100097656,450.5799865723,34187100
MSFT,Microsoft Corporation,2024-06-24,448.8999938965,449.799987793,446.4100036621,452.75,7078981
AAPL,Apple Inc.,2023-12-26,192.5428314209,193.101357781,192.3234081768,193.380620961,28919300
AAPL,Apple Inc.,2023-12-27,192.6425476074,191.9842931346,190.5879621024,192.9916341701,48087700
AAPL,Apple Inc.,2023-12-28,193.0714263916,193.6299527187,192.6624998955,194.1485908304,34049900
AAPL,Apple Inc.,2023-12-29,192.0241851807,193.3905810553,191.2262838919,193.8892674585,42628800
AAPL,Apple Inc.,2024-01-02,185.1522827148,186.6583101375,183.4068803457,187.9449295493,82488700
AAPL,Apple Inc.,2024-01-03,183.7659454346,183.7360254669,182.9480924023,185.3916680308,58414500
AAPL,Apple Inc.,2024-01-04,181.4320983887,181.6714581322,180.404805573,182.6089910441,71983600
AAPL,Apple Inc.,2024-01-05,180.703994751,181.5118794944,179.696653712,182.2798455851,62303300
AAPL,Apple Inc.,2024-01-08,185.0724945068,181.6116096701,181.02316337,185.1123979413,59144500
AAPL,Apple Inc.,2024-01-09,184.6535949707,183.4367989676,182.2499229303,184.6635632197,42841800
AAPL,Apple Inc.,2024-01-10,185.7008361816,183.8656739601,183.4367957605,185.9102759383,46792900
AAPL,Apple Inc.,2024-01-11,185.1024169922,186.0499181222,183.1375913301,186.5585879976,49128400
AAPL,Apple Inc.,2024-01-12,185.4315490723,185.5711806555,184.7034711898,186.2494020729,40444700
AAPL,Apple Inc.,2024-01-16,183.147567749,181.6814285506,180.4546490785,183.7759022493,65603000
AAPL,Apple Inc.,2024-01-17,182.2000579834,180.7937738848,179.8263210397,182.4494011864,47317400
AAPL,Apple Inc.,2024-01-18,188.1344451904,185.601109634,185.3417981723,188.6430998642,78005800
AAPL,Apple Inc.,2024-01-19,191.0567321777,188.8325950828,188.3239404308,191.4457069631,68741000
AAPL,Apple Inc.,2024-01-22,193.3805999756,191.7947809713,191.7548775392,194.8168191564,60133900
AAPL,Apple Inc.,2024-01-23,194.6672210693,194.5076529832,193.3207768841,195.2357308857,42355600
AAPL,Apple Inc.,2024-01-24,193.9889984131,194.9065795099,193.8294151218,195.8640640389,53631300
AAPL,Apple Inc.,2024-01-25,193.6598815918,194.7071261125,192.6026688214,195.7543706333,54822100
AAPL,Apple Inc.,2024-01-26,191.9144744873,193.7596202753,191.4357397992,194.2483232128,44594000
AAPL,Apple Inc.,2024-01-29,191.2262878418,191.5055510158,189.0819423514,191.6950542879,47145600
AAPL,Apple Inc.,2024-01-30,187.5459747314,190.4383649844,186.9774801488,191.2961062017,55859400
AAPL,Apple Inc.,2024-01-31,183.9155426025,186.5486062484,183.8656861363,186.6084614015,55467800
AAPL,Apple Inc.,2024-02-01,186.3690948486,183.5066395855,183.3370880241,186.4588547543,64885400
AAPL,Apple Inc.,2024-02-02,185.3617401123,179.3874715891,178.7790735752,186.8378475883,102518000
AAPL,Apple Inc.,2024-02-05,187.186920166,187.6556866004,185.3517578629,188.7528027701,69668800
AAPL,Apple Inc.,2024-02-06,188.8026733398,186.3690812824,186.2793213833,188.8126415891,43490800
AAPL,Apple Inc.,2024-02-07,188.912399292,190.139163663,188.1144979508,190.5480901929,53439000
AAPL,Apple Inc.,2024-02-08,187.8252563477,188.8924373489,186.8578034969,189.0420371841,40962000
AAPL,Apple Inc.,2024-02-09,188.5942077637,188.3944664742,187.745352998,189.7326630181,45155200
AAPL,Apple Inc.,2024-02-12,186.8964996338,188.1647836882,186.5369866435,188.4144450637,41781900
AAPL,Apple Inc.,2024-02-13,184.789352417,185.5183745869,183.2614260558,185.957781035,56529500
AAPL,Apple Inc.,2024-02-14,183.9005584717,185.0689870892,182.1928832396,185.278694106,54630500
AAPL,Apple Inc.,2024-02-15,183.6109619141,183.3013842477,181.1043671992,184.2401134541,65434500
AAPL,Apple Inc.,2024-02-16,182.0630493164,183.171546374,181.4239168388,184.5996172895,49701400
AAPL,Apple Inc.,2024-02-20,181.3140716553,181.5437558499,179.7561871382,182.1828883502,53665600
AAPL,Apple Inc.,2024-02-21,182.073059082,181.6935689071,180.4153038566,182.6422791064,41529700
AAPL,Apple Inc.,2024-02-22,184.1202697754,183.2314758715,182.2128684118,184.7094822136,52292200
AAPL,Apple Inc.,2024-02-23,182.2727813721,184.7593989207,181.983165643,184.7893570668,45119700
AAPL,Apple Inc.,2024-02-26,180.9146270752,181.9931660714,180.4053081047,182.5124507733,40867400
AAPL,Apple Inc.,2024-02-27,182.3826293945,180.8547030249,179.3167804481,183.6708753625,54318900
AAPL,Apple Inc.,2024-02-28,181.1742553711,182.2627752524,179.8860094478,182.8719495853,48953900
AAPL,Apple Inc.,2024-02-29,180.5051727295,181.0244726522,179.2868240099,182.3227148397,136682600
